commit,classifier
you know ,0
Workaround for JTextPane problem with Mac Java ,0
Workaround for JOptionPane bug ,0
Whitespace changes ,0
whatsnew for 1.4.0 git-svn-id: https://webim.svn.sourceforge.net/svnroot/webim/trunk@124 c66351dc-e62f-0410-b875-e3a5c0b9693f ,0
whats new updated ,0
Warnings about integration testing dangers,0
Visitors can reject invitations not only hide ,0
very tiny changes to wizard for UI cleanliness git-svn-id: http://svn.jboss.org/repos/jbosstools/trunk@7788 a97e2381-89e5-4abb-bab3-167db6db766c ,0
Vertically center preview image ,0
version is updated git-svn-id: http://svn.jboss.org/repos/jbosstools/trunk@5047 a97e2381-89e5-4abb-bab3-167db6db766c ,0
Version increment  and installation instructions ,0
Version control for incoming messages,0
venus ,0
Validating Time of created_at in all Models,0
Using new shorthand notation everywhere,0
userhistory  localize right menu titles git-svn-id: https://webim.svn.sourceforge.net/svnroot/webim/trunk@407 c66351dc-e62f-0410-b875-e3a5c0b9693f ,0
user.name test ,0
Use various page name for agent and user chat ,0
Use String.indexOf(char) instead of indexOf(String) ,1
Use String.equalsIgnoreCase ,1
use split   new Date(year month day) instead of fucking Date.parse ,1
Use size set by option ,0
Use same fixed handicap locations as in GTP specification ,0
Use private mutex for synchronization ,1
Use prefix gogui for preferences key ,0
Use platform dependent modifier key ,0
Use only two actions for setup mode ,0
use new settings db to send email git-svn-id: https://webim.svn.sourceforge.net/svnroot/webim/trunk@118 c66351dc-e62f-0410-b875-e3a5c0b9693f ,0
Use new response types for syntax highlighting ,0
Use new function GuiUtil.setEditableFalse(JTextField) ,1
use mysqlprefix in names of session vars ,1
Use JTextArea instead of JTextPane if GNU classpath or option -fast ,1
Use java.util.prefs for program history ,1
use isNumber ,0
Use IB.db_backed? to test if models are DB-backed. Dubious use of IB::DB for this purpose is deprecated.,0
Use gg-undo if available ,0
Use generics ,1
Use fake go.dtd ,0
Use etched border ,0
use DPChart.getColors instead of getColor ,0
Use different symbol for nodes w/o moves ,0
Use colored non-transparent images again ,0
Use  pageAdd*  events instead of special plugins methods ,1
Use  chat.thread.id  var instead of  ct.chatThreadId  in templates ,0
Updated tests for PHP s MibewAPI class to use MibewAPITestInteraction class instance ,0
updated getcode  images for history git-svn-id: https://webim.svn.sourceforge.net/svnroot/webim/trunk@13 c66351dc-e62f-0410-b875-e3a5c0b9693f ,0
updated french localization git-svn-id: https://webim.svn.sourceforge.net/svnroot/webim/trunk@247 c66351dc-e62f-0410-b875-e3a5c0b9693f ,0
updated for jbds 3.0.1 git-svn-id: http://svn.jboss.org/repos/jbosstools/trunk@22685 a97e2381-89e5-4abb-bab3-167db6db766c ,0
Updated Flex Query URL ,1
update types/pie.js ,1
update token methods to ensure csrf token is always get setted ,0
update string ids git-svn-id: https://webim.svn.sourceforge.net/svnroot/webim/trunk@470 c66351dc-e62f-0410-b875-e3a5c0b9693f ,0
update Spanish (by Jesus Plaza) ,0
update Simplified Chinese (by Xiaoyu) ,0
Update server mode with debug or run git-svn-id: http://svn.jboss.org/repos/jbosstools/trunk@1369 a97e2381-89e5-4abb-bab3-167db6db766c ,0
Update resize.js to work with layout system ,0
update release script ,0
Update README ,0
update raphael base library ,0
update pie.html ,0
update pie chat ,0
update Persian (by Amir Khani) ,0
Update Marionette.js to v1.0.0-rc6 ,0
Update link ,0
update license git-svn-id: https://webim.svn.sourceforge.net/svnroot/webim/trunk@606 c66351dc-e62f-0410-b875-e3a5c0b9693f ,0
update Italian (Luca Sasdelli) ,0
update Indonesian (by Adi Nugroho)  without images though ,0
update index changes ,0
