commit,classifier
zwei tabs nach der einheitennummer ,0
working on resolving HAFE damage ,0
Working on loading offboard assets from scenario files ,0
Working on initial placement of units ,0
Working on Infantry movement ,0
Working on getting Point Defence dialog sorted out ,0
working on getting automated shutdown to work properly ,0
Working on GameElementThemes ,0
working on deploying missiles during combat phase ,0
Working on CapitalShipStatus as a prelude to more work on the Movement Phase ,0
Working on applying damage to CapitalShips ,0
Worked with ordered sections. A bit of a mess  but all tests run. ,0
worked on equipment ,0
Work to get SelectWeaponToFireDialog working ,0
Work on Painting attempt resolution ,0
Work on Movement dialogs ,0
Work on Fighter Unit movement dialog ,0
work in progress: writing debug info into byte code,0
work in progress: tutorials,0
work in progress: macros,0
work in progress: Lazy evaluation for implementing nonstrict Combinators like Y & Co.,0
work in progress: JavaDocs,0
work in progress: documentation,0
work in progress,0
wizard dialog ,0
wizard ,0
we now read *.scm files !,0
very deep changes needed for two things: - remove dependencies to Eressea - add support for xml ,0
Version 0.9.1,0
Vehicles now drawing ,0
various updates ,0
various stuff ,0
various fixes ,0
Using Java 1.3 in project ,0
use Scanner instance to read user input,1
Usage examples for constraints and assertThat ,0
upper case ,0
uploads ,0
upgrading to 0.9.2,0
upgrade to ASM version 4.0,0
updates. trying to make the SF cvs update the pserver mirror... ,0
Updated with maven 2 stuff ,0
updated translation ,0
updated todos,0
updated todo list,0
Updated to use latest rMock ,0
Updated to beta 2 ,0
Updated the SCM settings ,0
Updated the project to use cglib2.1_2 no_dep jar instead. Seems to work under Java 1.5 as well. ,1
Updated the InvocationListener to take a MethodReference instead of methodName and parameterTypes ,0
Updated the documentation to use static suites for extra control ,1
Updated the build to build the rDoc-parser with Javacc ,0
Updated some sourceforge properties ,0
Updated release notes and some documentation. ,0
Updated release notes ,0
updated release notes ,0
Updated POMs ,0
Updated name to be rdoc and group to be rmock  to have rmock and rdoc in the same maven repository. ,0
updated javadoc ,0
updated filenames,0
updated FAQ ,0
Updated documentation features and maven  improved gui extension ,0
Updated documentation ,0
updated docs ,0
Updated copyright ,0
updated config file to match code ,0
updated Chausler ,0
Updated Chausler ,0
Updated changes ,0
Updated ChangeLog ,0
updated build files ,0
Updated ArrayReference to work with primitive types. ,1
Updated a test in the documentation ,0
update todo list,0
update documentation,0
update docs,0
Update Chausler ,0
update and typo ,0
update ,0
unit testCase for runFile ,0
Unit Test: new Test for working with Java collections,0
typo ,0
tweaks ,0
Tweaking game logs ,0
tweaked compiler settings ,0
tweak ,0
Trying to improve the user interface. Removing popup messages ,0
Trying to get rid of the -m warnings ,0
tried to fix retries ,0
translation update ,0
translation stuff ,0
translation and debian stuff ,0
towards rel. 2.0 ...,0
TODO: fix section on partial application,0
TODO: added some examples for things that should be working asap:  - mutual recursion (quick fix would be to allow deferred lookup of function definitions  i.e dynamic scoping.) - proper handling of closures,0
this directory is useless. ,0
This commit was manufactured by cvs2svn to create tag  v1_2_3 .,0
This commit was manufactured by cvs2svn to create tag  v1_2_2 .,0
This commit was manufactured by cvs2svn to create tag  v1_2_1 .,0
This commit was manufactured by cvs2svn to create tag  v1_1_9 .,0
This commit was manufactured by cvs2svn to create tag  v1_1_5 .,0
This commit was manufactured by cvs2svn to create tag  v1_1_4b .,0
This commit was manufactured by cvs2svn to create tag  v1_1_23 .,0
This commit was manufactured by cvs2svn to create tag  v1_1_22 .,0
This commit was manufactured by cvs2svn to create tag  v1_1_21 .,0
This commit was manufactured by cvs2svn to create tag  v1_1_20 .,0
This commit was manufactured by cvs2svn to create tag  v1_1_2 .,0
This commit was manufactured by cvs2svn to create tag  v1_1_16 .,0
This commit was manufactured by cvs2svn to create tag  v1_1_14 .,0
This commit was manufactured by cvs2svn to create tag  v1_1_13 .,0
This commit was manufactured by cvs2svn to create tag  v1_1_12 .,0
This commit was manufactured by cvs2svn to create tag  v1_1_11 .,0
This commit was manufactured by cvs2svn to create tag  RMOCK_EXT_TDDOC_0_1_0 .,0
This commit was manufactured by cvs2svn to create tag  RMOCK_2_0_0_rc_6 .,0
This commit was manufactured by cvs2svn to create tag  RMOCK_2_0_0_rc_3 .,0
This commit was manufactured by cvs2svn to create tag  RMOCK_2_0_0_rc_1 .,0
This commit was manufactured by cvs2svn to create tag  RMOCK_2_0_0_beta_5 .,0
This commit was manufactured by cvs2svn to create tag  RMOCK_2_0_0_beta_1 .,0
This commit was manufactured by cvs2svn to create tag  RMOCK_2_0_0_alpha_2 .,0
This commit was manufactured by cvs2svn to create tag  RMOCK_1_0_0 .,0
This commit was manufactured by cvs2svn to create tag  release-tags .,0
This commit was manufactured by cvs2svn to create tag  release .,0
This commit was manufactured by cvs2svn to create tag  PreAlpha_013 .,0
This commit was manufactured by cvs2svn to create tag  PreAlpha_001 .,0
This commit was manufactured by cvs2svn to create branch  vendor .,0
the very special extra race icons,0
the same small bug in refreshItems,0
testing ,0
test group commit ,0
test for mailing commit informations ,0
test for activitymail ,0
Temppunits werden nun in die TempUnit-Map eingetragen ,0
tackled firewalled downloads ,0
table columns ,0
synchronization fixes ,0
sync eclipse ,0
switch to activitymail 1.16 ,0
svn initial checkin,0
svn ignores,0
support new echeck version mark on overloaded ships do not write locale for games named GAV* added Date- header for MailMessage,0
Stupid bug... ,0
Still not quite hitting my stride and overthinking.,0
still fighting with element placement ,0
statcvs ,0
Starting rework to make Grav Vehicle movement usable ,0
starting off-board request resolution ,0
Started working on Game and Player Admin ,0
Started work on movement projection ,0
Started work on maps and themes ,0
Started work on kicking a Centurion game off Added Commanders and CommanderTemplates ,0
Started work on getting the dialog functional ,0
Started velocity documentation generation implementation ,0
Started trying out the Bus on RMock-testcase ,0
started on commenting togg... ,0
Started ironing out connection/disconnection and reconnection issues. Loads more to resolve. ,0
Started implementation of multiplexing connection points ,0
Started categorization of failures. When all expectations are not satisfied after a test an UnsaisfiedExpectationsException is thrown instead of the JUnitDependent AssertFailedException. ,0
Started adding vehicle internal structure classes ,0
Standard project directories initialized by cvs2svn.,0
spelling... ,0
sourceforge webpages under version control ,0
Source code level changes. See ChangeLog ,0
source code indenting ,0
Sorting out display of other asset requests ,0
some tweaks ,0
some tidying up ,0
some small fixes ,0
some slight rework ,0
some progress ,0
some new classes for a better gui. Added heavy gui cleanups ,0
Some more work on getting offboard assets hooked up ,0
some more manual ,0
some more fixes ,0
some more examples for lazy evaluation,0
some minor updates,0
some major changes concerning EMapOverviewPanel ,0
some gui tweaks ,0
some further progress ,0
some fixes ,0
some code style tests to see what the API could look like.,0
some code beautifings from solthan (stm) changed FileHandlung (CRs) from String FileName to File FileName (stm),0
some cleanup ,0
some changes and preparations for a new release ,0
some changes - see changelog :-) ,0
snapshot release ,0
smaller fixes ,0
small svn test: added time info to developer link Fiete,0
small restructure ,1
small fixes to datafiles ,0
small fix ,0
shortcut changes ,0
sharing by index fix ,0
Share project jLambda into https://jlambda.svn.sourceforge.net/svnroot/jlambda,0
Setup VehicleMovementDialogTest ,0
Setting up UI for OpportunityFire ,0
setting up for off-board asset request resolution ,0
Server side work to set up firing phase ,0
Schiffe in der Zugvorlage ,0
scaling ,0
reworked the target selection idea to a single panel rather than the separate firer and target panels ,0
reworked setOriginAction and setOriginDialog added familiarmage-tag to unit.merge added icon for munition = katapultmunition added section.mail for showing player-messages fixed bug for region zauber (dist = 2 had x y) added context menu item select units in EMapDetail,1
reworked setOriginAction and setOriginDialog added familiarmage-tag to unit.merge added icon for munition = katapultmunition added section.mail for showing player-messages,0
resumes are getting better ,0
ResourceManager first version. More to come soon. ,0
repository search ,0
replaced e.printStackTrace with log.error(e) ,1
repaired gnutella plugin ,0
repair or and,0
renaming didnÂ´t work old race icons again,0
Renamed the record method to mock to be more consistent with other mock frameworks ,0
Renamed S -> SectionFactory  A -> ActionFactory  M -> MultiplicityFactory  C -> ConstraintFactory ,1
renamed file ,0
Renamed Bus->Hub (package also)  Created first version of Configurator and the RMockServiceFactory interface. ,1
renamed and repackaged some classes started work on the game board ,1
Renamed ActionModifier methods returnsValue to returnValue and throwsException to throwException. ,1
rename project start documentation,0
Removing tabs in favor of proper indentation. Better now than later. ,0
removed UserActionSupport ,1
Removed unused code ,1
Removed unnecassary jfreechart-0.9.8 library. Is replaced by older but smaller version of the same library. ,0
removed some typos ,0
removed old buildung icons for fortifications added info for max Horses (walking and riding) added Icons for buildings in faction stats some new icons for items ,0
Removed JMock dependencies ,1
removed id cvs tag from header ,0
Removed file/folder,0
Removed file ,0
Removed event handling and made the expectations a Verifiable ,1
removed class Herb ,0
Removed AGAIN ,0
removed ActionTextField ,0
Removed a lot of junk for ordered sections. Decided to put that logic into the ExpectationVisitor instead. Lets see if we have better luck with that. :-) ,1
Removed 1.3 incompatible constructors ,0
Remove: not used anymore after the refactoring ,0
remove obsolete lisp folder,1
remove obsolete functions package,1
remove diff information in activitymail ,0
release preps ,0
release preparations ,0
Release 1.0,0
release ,0
relaxed some requestFocus for new temp units ,0
Rejigged adding participants to games debugged GameClientInternalFrame constructor and added GameClient to constructor arg list set PlayerDetailPanels to be added dynamically ,0
reimport after cvs cleanup ,0
Refactoring: test for stackhandling,1
Refactoring: Template.compile returns a BaseFunction,1
refactoring: Scheme primitives are not longer defined as standalone classes but as static BaseFunction instances in class SchemePrimitives,0
Refactoring: restructure init.lsp first attempt at lerec macro ,1
refactoring: replace asm 3 jar by asm 4 jars,0
Refactoring: Repl ist no longer required to extend ClassLoader,0
refactoring: reorganized package structure to better reflect a layered approach,1
refactoring: print stacktrace in case of compilation problems,1
Refactoring: moved Function to root package as it is meant as public interface ,1
Refactoring: moved currying to Template,1
refactoring: move all function instances to a single java class SchemePrimitives,1
Refactoring: made CstInt more robust for switching between Integer and BigInter arithmetic,1
Refactoring: getting rid of LTerms,1
refactoring: get rid of fun4j template instance use static functions everywhere in Template class,1
Refactoring: generate optimized code for expression compilation (avoid sub-calls from apply to applyInternal),1
refactoring: extracting symbolic constants to new Interface Symbols,1
refactoring: extracting handling of specials in precompile to separate methods. prepare handling of let special.,1
Refactoring: extract pre-compiler to a separate class. Now the Compiler doesn t know anything about LISP but only about AST Expressions. This way it can easily used by users to compile their own functional languages.,1
Refactoring: eliminating LTerms as intermediary AST structure,1
Refactoring: clean up parser,1
refactoring: be on the safe side regarding empty collections !,0
refactoring: allow static import of Template instance,1
refactoring tests,0
Refactoring PowerAllocationDialog to include Shield Allocation ,1
Refactoring message handing switch statements into CommandProcessor CommandHandlers ,0
refactoring ant: added preprocessing to have current revision number available in Version Class ,1
Refactored to use simple services ,0
Refactored to use ServiceFactoryTestCase ,1
Refactored the documentationContext to be a documentation controller and added a new Context that can be serialized to disk. ,0
